dataset,metric,n,mean,ci95_half_width,sd,min,max
single_train,reward,199,194.40631099309624,13.743613613645902,98.9171064562472,-342.5442715431557,239.93803380196863
single_compare,SAC reward,100,235.2864625750867,0.631155820028916,3.2201827552495716,232.54133028262112,241.75844653917517
single_compare,RBF reward,100,115.90795690417623,0.5054638964752955,2.578897430996406,113.55740813061924,123.2383487948475
single_compare,SAC - RBF reward,100,119.37850567091047,0.976607473084486,4.9826911892065615,109.3529753246319,126.13507069481815
multi_eval,reward,100,215.3484974377533,29.46343954029597,150.32367112395903,-955.7499867355365,288.7049411175392
multi_eval,success,100,0.97,0.033603535167561996,0.1714466079977653,0.0,1.0
multi_eval,collision,100,0.01,0.0196,0.1,0.0,1.0
multi_compare,opinion reward,100,196.77510730943956,44.03968501804857,224.69227050024782,-983.5577187949087,289.12985508653105
multi_compare,max reward,100,126.72256842891666,4.684370631524893,23.899850160841293,30.697858212186844,143.8352137773178
multi_compare,opinion - max reward,100,70.0525388805229,43.51157663947389,221.99783999731574,-1100.62507857975,184.39736757538628
multi_compare,opinion success,100,0.94,0.04678191828888464,0.23868325657594203,0.0,1.0
multi_compare,max success,100,1.0,0.0,0.0,1.0,1.0
multi_compare,opinion collision,100,0.03,0.033603535167561996,0.1714466079977653,0.0,1.0
multi_compare,max collision,100,0.0,0.0,0.0,0.0,0.0
