run,ego_x0,sac_reward,rbf_reward,reward_diff,sac_progress,rbf_progress,sac_success,rbf_success,sac_collision,rbf_collision,sac_time,rbf_time,sac_min_distance,rbf_min_distance
1,23.983521734929255,241.75844653917517,118.01847637530531,123.73997016386986,0.9509974658105451,0.9509830098727656,1.0,1.0,0.0,0.0,7.199999999999982,29.450000000000284,2.469926248784873,9.703936963814192
2,20.884898453545755,234.61026091324302,116.3417877828904,118.26847313035262,0.9508210724525106,0.9509095555533653,1.0,1.0,0.0,0.0,6.849999999999984,29.450000000000284,2.9112821582390773,9.703808278503711
3,23.005006828665742,239.1827549976436,113.60768116055283,125.57507383709077,0.950011071847433,0.9510054871031464,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.6270136014037084,9.703976138652171
4,22.13343278730418,233.46364932223779,116.39367832749454,117.06997099474324,0.9510100176296694,0.9509849152546861,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.622028936668434,9.703940236829906
5,21.982217808857428,233.408498893027,114.75791785645896,118.65058103656804,0.9502148409929985,0.9509780541959274,1.0,1.0,0.0,0.0,6.999999999999983,29.450000000000284,2.736521551790632,9.703928253101807
6,20.874421160040928,232.60826712309805,116.37894412700538,116.22932299609266,0.9508836757796288,0.9509088009746725,1.0,1.0,0.0,0.0,6.849999999999984,29.450000000000284,2.9089527300744344,9.703806953874397
7,22.671546373569537,234.31738114597985,113.60757691176579,120.70980423421406,0.950704128612804,0.9510018148698103,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.570995618295929,9.703969728823292
8,23.658662952666802,240.93412959265407,114.82714515931939,126.10698443333469,0.950238370057767,0.9509958363867368,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.5778135522208387,9.703959331875767
9,20.421874729152908,232.54133028262112,119.95023039096324,112.59109989165788,0.950043500045936,0.9508757353408137,1.0,1.0,0.0,0.0,6.749999999999984,29.450000000000284,3.0445704348118987,9.703748813872458
10,20.503663447788803,232.59770986856884,117.67615675006179,114.92155311850705,0.9514393607645264,0.950881735777698,1.0,1.0,0.0,0.0,6.799999999999984,29.450000000000284,2.94718204593192,9.703759375564204
11,20.64007971398902,232.57813980086286,117.20811557238667,115.37002422847618,0.9505362796471548,0.9508917467115909,1.0,1.0,0.0,0.0,6.799999999999984,29.450000000000284,2.978730200584603,9.70377698499757
12,20.638382679997086,232.57834058755765,117.21405661064139,115.36428397691625,0.9505472724582753,0.9508916224682542,1.0,1.0,0.0,0.0,6.799999999999984,29.450000000000284,2.978338959704033,9.70377676635491
13,23.09871746724821,239.09585705029124,113.68393980875032,125.41191724154092,0.9509692641545016,0.9510054913665023,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.491422370097771,9.703976147065646
14,23.662372669169283,240.94730065565474,114.83867836375748,126.10862229189726,0.9502347395088684,0.9509957176100474,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.5783702418720624,9.703959126655915
15,23.145506912010493,239.237599409587,113.73476813009745,125.50283127948956,0.9508928192599997,0.9510053194654364,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.498817387553644,9.70397584987601
16,20.869956338114413,232.60750989934058,116.39477466804613,116.21273523129446,0.9509104235273924,0.9509084794717371,1.0,1.0,0.0,0.0,6.849999999999984,29.450000000000284,2.9079596939027033,9.7038063886577
17,20.064116066685262,232.56729758904444,123.09464397030774,109.4726536187367,0.9505246973187957,0.9508498134494414,1.0,1.0,0.0,0.0,6.699999999999984,29.450000000000284,3.068051931174543,9.703703136508599
18,21.628037522670986,233.01266780098751,115.7824137026667,117.23025409832081,0.9502017038030852,0.9509590213201498,1.0,1.0,0.0,0.0,6.949999999999983,29.450000000000284,2.8060455753357125,9.703894980330851
19,22.102602431425993,233.40229630886597,114.46348089159571,118.93881541727026,0.951113867522807,0.9509835843796524,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.6163595707026097,9.703937912377514
20,21.173332222003125,232.69114887948479,117.31957054494006,115.37157833454472,0.9508628579566352,0.9509298619779378,1.0,1.0,0.0,0.0,6.8999999999999835,29.450000000000284,2.845660619474511,9.703843909988667
21,23.29924141792268,239.71896824060576,113.9591646980823,125.75980354252346,0.9506626670653484,0.9510039364562546,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.522892684215807,9.703973443571973
22,23.000433060142278,239.17010085424258,113.60482787504944,125.56527297919314,0.9500194053536213,0.9510054751890415,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.626256334969626,9.703976117496099
23,22.110399604588345,233.41769417275324,114.44558846986158,118.97210570289167,0.9510874308472939,0.9509839243911296,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.617794551708079,9.703938506284826
24,22.324885250378138,233.85434728530407,114.01524966773583,119.83909761756824,0.9504054976838252,0.9509923496908987,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.65695253903825,9.703953214219023
25,22.680009756203496,234.33785972519306,113.60256172148986,120.73529800370319,0.9506843130633928,0.9510019766046549,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.572437189889504,9.703970010835278
26,20.995763851630887,232.63809806032828,117.94823348005892,114.68986458026936,0.9501730120165621,0.9509174760435652,1.0,1.0,0.0,0.0,6.849999999999984,29.450000000000284,2.9358544393816057,9.703822182396594
27,23.28851781145347,239.68462151272507,113.94082875331462,125.74379275941045,0.9506777038525809,0.9510040735316201,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.5212245144687855,9.703973682783708
28,21.35399418468091,232.7227723587208,114.69247369724015,118.03029866148064,0.9514803073518856,0.9509419604850053,1.0,1.0,0.0,0.0,6.949999999999983,29.450000000000284,2.750228735641543,9.703865112746504
29,22.125004298443695,233.44675364678324,116.41250972382107,117.03424392296216,0.9510382272502782,0.9509845547168525,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.62048025720974,9.703939607822903
30,23.58215604010484,240.66533211092073,114.60072447999126,126.06460763092947,0.9503164030560485,0.9509981201437028,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.5662860981769007,9.703963313262383
31,23.538118867309038,240.51304630852496,114.48070387764932,126.03234243087564,0.9503642055112906,0.9509992999861079,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.5596105897833827,9.703965369022757
32,20.028979485450815,232.5852413546183,123.20176283510798,109.3834785195103,0.9507928617531181,0.950847316090099,1.0,1.0,0.0,0.0,6.699999999999984,29.450000000000284,3.059360995380556,9.70369873090635
33,20.50456709353441,232.59756681823254,117.67311299500012,114.92445382323241,0.951433249634144,0.9508818020554237,1.0,1.0,0.0,0.0,6.799999999999984,29.450000000000284,2.9473916695617723,9.703759492383266
34,23.943675628019456,241.59998859723234,117.85306582053033,123.74692277670201,0.9510253816523695,0.9509848393319869,1.0,1.0,0.0,0.0,7.199999999999982,29.450000000000284,2.464341925668091,9.703940155171045
35,22.954848139034233,239.04505544315552,113.58078668594196,125.46426875721356,0.9501041808034802,0.951005296662488,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.6186918085872284,9.703975804452416
36,20.396335372896687,232.55075701606356,122.03498772156419,110.51576929449936,0.9502206966027757,0.9508738642531649,1.0,1.0,0.0,0.0,6.749999999999984,29.450000000000284,3.0384812747568017,9.703745519761735
37,21.91143837890089,233.28474668750968,114.94597437574156,118.33877231176812,0.9504781592785858,0.9509745659651447,1.0,1.0,0.0,0.0,6.999999999999983,29.450000000000284,2.722927701019744,9.703922158666073
38,20.725959775995392,232.59355141377347,118.90576680215622,113.68778461161725,0.9517958930327084,0.9508980288068052,1.0,1.0,0.0,0.0,6.849999999999984,29.450000000000284,2.875815324989498,9.703788028946061
39,23.484352279488615,240.32944610723067,114.34445165760874,125.98499444962192,0.9504255228185639,0.9510006050195308,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.551420478941601,9.703967642123192
40,21.005217324971603,232.64100271907054,117.91467174774156,114.72633097132898,0.9501189708317914,0.9509181454650153,1.0,1.0,0.0,0.0,6.849999999999984,29.450000000000284,2.937943129875474,9.703823357457557
41,21.299696221627034,232.77405385185995,114.8787701180941,117.89528373376585,0.9502042982248753,0.950938386334715,1.0,1.0,0.0,0.0,6.8999999999999835,29.450000000000284,2.8725165012111242,9.703858850629642
42,23.28635331291186,239.6777024264602,113.93718235701606,125.74052006944414,0.950680756847996,0.9510041005883882,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.520887599438502,9.703973729629793
43,22.20368744864305,233.60739788201198,116.24363027381074,117.36376760820124,0.9507801537126994,0.9509878125374172,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.634901449979531,9.703945295213543
44,23.121417100020494,239.16433583172696,113.7075350966395,125.45680073508746,0.950931795299021,0.9510054221279332,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.495013919830652,9.703976028475909
45,22.900041618535553,236.89755266771328,113.5624821401101,123.33507052760318,0.9502102991196357,0.9510049395342663,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.6095560041397863,9.703975179985127
46,23.46213309512311,240.2543604169682,114.29132469617261,125.9630357207956,0.950451822398243,0.9510011000993202,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.5480232053862086,9.703968504953627
47,23.45115461080364,240.21744376734267,114.26576695141773,125.95167681592494,0.9504650281206648,0.9510013354271265,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.5463418837487817,9.703968914380372
48,22.896163092844244,236.88722150329613,113.56163494595947,123.32558655733666,0.9502179846225058,0.9510049079668399,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.6089077999563135,9.703975125932638
49,21.45122307024742,232.8146912295409,114.36111396508787,118.45357726445303,0.9510086582238286,0.9509482108102905,1.0,1.0,0.0,0.0,6.949999999999983,29.450000000000284,2.7701371898189655,9.70387605952901
50,20.73485752933636,232.59415309544818,118.87425806058855,113.71989503485963,0.9517398979776011,0.950898678022984,1.0,1.0,0.0,0.0,6.849999999999984,29.450000000000284,2.877808067532327,9.703789169795622
51,21.492493155127182,232.8567415047055,114.2230676798994,118.6336738248061,0.9508144631918989,0.9509508015061752,1.0,1.0,0.0,0.0,6.949999999999983,29.450000000000284,2.778553231366074,9.703880595041108
52,20.11585685040157,232.54141616171972,122.93502243800836,109.60639372371136,0.9501342415759775,0.9508535108713136,1.0,1.0,0.0,0.0,6.699999999999984,29.450000000000284,3.080828474681839,9.70370965645276
53,22.238124329289416,233.67706120160153,116.17471951715976,117.50234168444177,0.9506708976921829,0.9509891621819961,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.641187239502248,9.703947651245459
54,22.24629630637922,233.69358235757926,116.15882753245991,117.53475482511935,0.9506452987650553,0.9509894753709967,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.642676536440121,9.703948198003697
55,22.42604772481789,234.05970324686078,113.85687924021391,120.20282400664686,0.9501136015223735,0.9509956671780866,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.675203276644691,9.703959003315894
56,22.92656969811583,234.96859526332395,113.56987391509375,121.3987213482302,0.9501583573612686,0.9510051315917705,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.6139835863699017,9.703975516128084
57,20.80383019318789,232.5997744992307,116.62936660553287,115.97040789369784,0.9513115577934625,0.9509036965524376,1.0,1.0,0.0,0.0,6.849999999999984,29.450000000000284,2.8932264223413675,9.703797987994474
58,20.072730942752376,232.56282345308531,123.06820503251262,109.49461842057269,0.9504593187697541,0.9508504273503808,1.0,1.0,0.0,0.0,6.699999999999984,29.450000000000284,3.070181014577717,9.703704219489985
59,22.25335702031241,233.70790553388414,116.14523985184347,117.56266568204067,0.9506232818370965,0.9509897438313981,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.643962585615416,9.70394866681636
60,22.048857681674885,233.29865438067065,116.59075309111802,116.70790128955264,0.9512992791265058,0.9509811798445045,1.0,1.0,0.0,0.0,7.049999999999983,29.450000000000284,2.6064471878769773,9.703933713457268
61,23.740838021443267,241.22941262383864,115.09434192902049,126.13507069481815,0.9501611362738498,0.9509930583397299,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.5900958105612313,9.703954490629318
62,21.534437852254634,232.9026341169245,116.0844490653373,116.81818505158721,0.9506207483034526,0.9509533939051598,1.0,1.0,0.0,0.0,6.949999999999983,29.450000000000284,2.7870854157021356,9.703885132275273
63,23.44994689854405,240.21338923489103,114.26298372170949,125.95040551318154,0.9504664894394146,0.9510013607983931,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.546156816109609,9.703968958700274
64,23.03173139415086,238.8968319122203,113.62596522041788,125.27086669180242,0.951084102951486,0.9510055355939735,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.4807812650065144,9.70397622281792
65,23.12887615093996,239.1869638485049,113.71572630758689,125.471237540918,0.9509196406951905,0.9510053936989302,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.4961924930489974,9.703975978736159
66,23.4697905634412,240.2801865624756,114.30942212629701,125.97076443617858,0.9504426943497002,0.951000932719388,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.5491948546583125,9.703968212502588
67,23.57897495933862,240.65427003742963,114.59178735194419,126.06248268548543,0.9503197807682644,0.9509982090492699,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.56580487584971,9.703963467231882
68,21.897493754586108,233.2609874734827,114.98403117454933,118.27695629893336,0.9505312146171911,0.9509738588079202,1.0,1.0,0.0,0.0,6.999999999999983,29.450000000000284,2.7202417030744552,9.70392092333217
69,20.01689029213272,232.5913241194794,123.2383487948475,109.3529753246319,0.9508856867166178,0.9508464591381338,1.0,1.0,0.0,0.0,6.699999999999984,29.450000000000284,3.0563680902812442,9.703697219991406
70,20.673203396731182,232.57449521453725,117.09190985706273,115.48258535747452,0.9503229398557087,0.9508941727975881,1.0,1.0,0.0,0.0,6.799999999999984,29.450000000000284,2.9863603652020942,9.70378125049638
71,23.16737473511584,239.30459745682285,113.76148666572058,125.54311079110227,0.9508581329679551,0.9510051996838016,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.502262836300996,9.70397564090953
72,22.627027410562278,234.2107622022584,113.63798661965951,120.57277558259888,0.9508103452484085,0.9510009080014523,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.5633961926445124,9.703968147327153
73,20.24610491011674,232.6089339240058,118.52387531239717,114.08505861160864,0.9512902824310896,0.9508629074329169,1.0,1.0,0.0,0.0,6.749999999999984,29.450000000000284,3.0025276884344523,9.703726219877757
74,20.325171840654434,232.57785718023746,120.26861961901045,112.30923756122701,0.9507215657273484,0.9508686616019575,1.0,1.0,0.0,0.0,6.749999999999984,29.450000000000284,3.021478669478258,9.703736358143122
75,22.958980743024323,239.0562921273538,113.58263806097392,125.47365406637988,0.9500963657350678,0.9510053170602282,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.6193788694813795,9.703975840859348
76,22.687685899018103,234.3564936619096,113.59822640925827,120.75826725265134,0.9506664438741712,0.951002119970207,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.573743800984087,9.703970261533865
77,22.580401361637076,234.10107729603791,113.67701103045131,120.4240662655866,0.9509251961408167,0.950999857489389,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.5554076212535786,9.703966315242168
78,20.59267636195641,234.5843774705296,117.37358067109477,117.21079679943483,0.9508456372595009,0.9508882702370105,1.0,1.0,0.0,0.0,6.799999999999984,29.450000000000284,2.967789934403732,9.703770871526425
79,21.838441345654026,233.16260957285522,115.14915350054011,118.01345607231511,0.9507602065280218,0.950970795285019,1.0,1.0,0.0,0.0,6.999999999999983,29.450000000000284,2.708839073175885,9.703915568357145
80,21.18349758511473,232.69705321705086,117.28379458571733,115.41325863133353,0.9508086191860206,0.9509305575560436,1.0,1.0,0.0,0.0,6.8999999999999835,29.450000000000284,2.847828098824218,9.703845129561671
81,20.064184831239416,232.5672623267523,123.09443344520773,109.47282888154459,0.9505241748865147,0.950849818365948,1.0,1.0,0.0,0.0,6.699999999999984,29.450000000000284,3.068068928447048,9.703703145007088
82,20.82702077080941,232.6021203388241,116.54704914517319,116.05507119365092,0.9511698159470106,0.9509053773967655,1.0,1.0,0.0,0.0,6.849999999999984,29.450000000000284,2.8983989102579515,9.703800940667284
83,22.809562516197982,234.6607120974461,113.55740813061924,121.10330396682686,0.9503957473720623,0.9510040136092772,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.5943771018643926,9.703973564732056
84,21.948492945433628,233.3488305059662,114.84625676412288,118.5025737418433,0.9503390633751432,0.9509764133234708,1.0,1.0,0.0,0.0,6.999999999999983,29.450000000000284,2.73005267324701,9.703925386376048
85,23.38023894316369,239.9818418741244,114.11178915711426,125.87005271701014,0.9505537763012957,0.9510027015622111,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.535437996806342,9.703971294001379
86,21.366732690649545,232.73435185596904,114.64863159876182,118.08572025720721,0.9514173812027134,0.9509427906328727,1.0,1.0,0.0,0.0,6.949999999999983,29.450000000000284,2.752843431143628,9.703866566682159
87,20.2094493278732,232.62336313264154,118.64096745486867,113.98239567777287,0.9515582607831414,0.9508602512912812,1.0,1.0,0.0,0.0,6.749999999999984,29.450000000000284,2.9937211254953486,9.703721539170768
88,23.38782127201955,240.00678663429602,114.12732879947019,125.87945783482583,0.9505439985948188,0.9510025683573902,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.536607419103933,9.703971061563923
89,20.190066219569864,232.6307866935194,120.7024587914853,111.92832790203411,0.9517010518400577,0.9508588500539832,1.0,1.0,0.0,0.0,6.749999999999984,29.450000000000284,2.9890591319389372,9.703719069955964
90,21.379778894731245,232.7463303417996,114.60385722376397,118.14247311803562,0.951353289394693,0.9509436375869449,1.0,1.0,0.0,0.0,6.949999999999983,29.450000000000284,2.7555193089149927,9.703868049734007
91,23.607500891810787,240.75381932985604,114.67329836872355,126.08052096113249,0.9502898759737837,0.9509973965508198,1.0,1.0,0.0,0.0,7.149999999999983,29.450000000000284,2.570114699452018,9.70396205148535
92,22.98149837973314,239.11791485440511,113.59387259704457,125.52404225736055,0.9500542381247274,0.9510054141143025,1.0,1.0,0.0,0.0,7.099999999999983,29.450000000000284,2.62311802640688,9.703976010588354
