time,reward,total_reward,progress,u_t,formula_u_t,z,gap,min_distance,ego_x,ego_y,success,collision
0.05,-0.09868798740069593,-0.09868798740069593,0.001672217397934661,0.2218992789531143,0.2218992789531143,0.04730157749490392,15.0,4.21339762007936,17.104416066852043,2.0066888695917386,0.0,0.0
0.1,0.09182914447104693,-0.0068588429296490006,0.004919013996021571,0.22202651559740202,0.22202651559740202,0.08120589917360709,14.989528024488035,4.201108198919816,17.875399863644454,2.0196760559840863,0.0,0.0
0.15000000000000002,0.26387861203584084,0.25701976910619184,0.0095820697424015,0.22222679600352385,0.22222679600352385,0.11190542915497184,14.968598424942591,4.18322630924413,18.656077287351692,2.038328278969606,0.0,0.0
0.2,0.4185722249995034,0.6755919941056953,0.015512001763266836,0.22251374570526733,0.22251374570526733,0.13957130630866657,14.93725421646274,4.160191889859706,19.44597344641993,2.0620480070530673,0.0,0.0
0.25,0.5573315915059879,1.2329235856116831,0.022571787760323758,0.2228969538051876,0.2228969538051876,0.16435765121489546,14.89556695986672,4.132416512933613,20.244650277790026,2.090287151041295,0.0,0.0
0.3,0.681502861433563,1.9144264470452461,0.03063609336036288,0.22338339478617977,0.22338339478617977,0.1864044273355412,14.843636565548728,4.100284471530376,21.051702125758023,2.1225443734414515,0.0,0.0
0.35,0.7923269766304053,2.7067534236756514,0.03959035499014174,0.22397845679738587,0.22397845679738587,0.20583929983423674,14.781591019631463,4.064155355023219,21.86675169536283,2.158361419960567,0.0,0.0
0.39999999999999997,0.8909446206411628,3.597698044316814,0.049329907272039564,0.22468666966932513,0.22468666966932513,0.22277886171741335,14.70958603316506,4.024366797367282,22.689446354084573,2.1973196290881583,0.0,0.0
0.44999999999999996,0.9784038417188007,4.576101886035615,0.05975917696814248,0.22551221279970005,0.22551221279970005,0.23732951229102264,14.627804615333925,3.9812371551151986,23.519454757667635,2.23903670787257,0.0,0.0
0.49999999999999994,1.0556674233151042,5.6317693093507195,0.07079094112748519,0.2264592662562406,0.2264592662562406,0.24958819418867992,14.536456571841288,3.9350680085964864,24.356463777740743,2.2831637645099407,0.0,0.0
0.5499999999999999,1.1236197154518317,6.755389024802551,0.08234564472058514,0.22753225270506536,0.22753225270506536,0.25964312955969227,14.435777929846349,3.886146421691597,25.200175710606622,2.3293825788823406,0.0,0.0
