episode,reward,train_reward,progress,collision,success,time,steps,mean_u,ego_x0,min_distance,q1_loss,q2_loss,policy_loss,alpha,term_action_smooth,term_collision,term_direction_flip,term_hesitation,term_lane_progress,term_opportunity,term_progress,term_reverse_progress,term_safety,term_success,term_time,term_timeout
1,-233.71307109067203,-11.685653554533616,0.9503357296707309,0.0,1.0,7.149999999999983,143,1.526749808054704,22.0,2.322349626185516,2.3127174377441406,2.306771755218506,-1.0474724769592285,0.9984013438224792,-8.811460556039673,0.0,-2.0,-3.348599980749936,6.019139854279908,53.025982142660894,152.66947426889604,-0.30787876078957055,-744.1933167816076,314.2500000000001,-1.0164112773225167,0.0
2,-630.9463425625704,-31.547317128128512,0.9531871801726401,0.0,1.0,12.35000000000004,247,1.4667764238500403,22.0,3.5400612595438865,1.688462257385254,1.6333496570587158,-1.7364283800125122,0.9741024971008301,-19.807102182869485,0.0,-4.0,-8.257894923913343,7.360281042969917,77.90900098252403,240.29080780948115,-43.89042949092939,-1166.47605849539,288.2499999999998,-2.3249473044431377,0.0
3,-247.80133348841946,-12.390066674421016,0.9501085159203586,0.0,1.0,7.049999999999983,141,1.5572617641577484,22.0,2.6032153982329076,0.4295039772987366,0.3508763611316681,-1.9786673784255981,0.9604547619819641,-12.239916293310669,0.0,-2.0,-3.3286986907583493,5.878866217124052,52.88960295053009,152.50316919093675,-0.24290332183973362,-754.9987409568133,314.7500000000001,-1.0127125842892406,0.0
4,-7835.82868000021,-391.79143400001044,0.9538980431858777,0.0,1.0,23.750000000000203,475,1.430249794847087,22.0,3.330231020327827,1.8167710304260254,1.6511863470077515,-2.2036495208740234,0.9160553216934204,-36.85851654652935,0.0,-11.0,-11.72054720799315,19.9746910760993,126.47497472851077,359.52702680958373,-103.45166994992186,-8406.644893486724,231.24999999999898,-3.3797454232313795,0.0
5,-2091.6439886984126,-104.58219943492068,0.9572044375751554,0.0,1.0,11.65000000000003,233,1.5058309364216522,22.0,3.1726948769105228,0.7979389429092407,0.7133365869522095,-2.0408809185028076,0.8949571251869202,-16.079840946990583,0.0,-6.0,-6.854077653482094,8.185784285086145,86.34627544975677,237.62131801326808,-42.23430400062159,-2642.4189783988822,291.74999999999983,-1.9601654465463467,0.0
6,-255.29075220445333,-12.764537610222655,0.9501583363220298,0.0,1.0,6.999999999999983,140,1.4237432709762028,22.0,2.7399002121248826,0.5599082112312317,0.5327931642532349,-2.170651912689209,0.8824940323829651,-9.748224412536363,0.0,-2.0,-3.3164853727494457,5.812110223505602,52.83288873337342,152.46218845864524,-0.21842732356025962,-765.104573178039,315.0000000000001,-1.0102293330926997,0.0
7,-2257.3109334847613,-112.86554667423817,0.9513789273295938,0.0,1.0,18.250000000000124,365,1.469904627946958,22.0,3.621612488743126,0.4208730459213257,0.4079967439174652,-1.6540058851242065,0.8508105874061584,-23.63239532357036,0.0,-8.0,-11.135578237594654,12.54951106668542,111.19433647491282,326.4540515380197,-87.11671158264227,-2833.2521807455755,258.7499999999994,-3.1219666749964854,0.0
8,-3779.3199110108226,-188.96599555054115,0.9667257343591906,0.0,1.0,17.450000000000113,349,1.4573125114242804,22.0,2.3751686711529243,0.41115742921829224,0.39667943120002747,-2.7221992015838623,0.8215703368186951,-20.895726615197425,0.0,-8.0,-10.803745623350082,11.840264528351495,112.25082754456335,326.73706951941995,-86.03047601097467,-4364.153173952699,262.74999999999943,-3.0149504009340946,0.0
9,-253.07659742086292,-12.65382987104317,0.9500734780164914,0.0,1.0,6.999999999999983,140,1.3771795411195074,22.0,2.740261686368894,0.6897945404052734,0.7024664282798767,-1.6877741813659668,0.8101349472999573,-7.941693760032184,0.0,-2.0,-3.3167860819567823,5.811960071622291,52.83609815152455,152.4544787475227,-0.22136113244201283,-764.6890359305311,315.0000000000001,-1.0102574865708207,0.0
10,-3690.3611442991523,-184.5180572149575,0.9629051127112265,0.0,1.0,17.450000000000113,349,1.4667638405346255,22.0,2.3443187194852024,0.4392687678337097,0.4618009030818939,-2.044929265975952,0.7823224663734436,-22.736089964184103,0.0,-7.0,-11.348627186576179,10.865424568397607,100.66326547960665,313.2749863605936,-79.60508416339869,-4254.027286500167,262.74999999999943,-3.1977328934254476,0.0
11,-253.42490837513634,-12.67124541875681,0.9501065267682463,0.0,1.0,6.999999999999983,140,1.490123519727162,22.0,2.7400708899197466,0.4267660975456238,0.4484402537345886,-3.572014808654785,0.7714391350746155,-8.577327452919407,0.0,-2.0,-3.317319228946565,5.810693233235215,52.81298216742987,152.45042091600595,-0.216688316543312,-764.3771746746296,315.0000000000001,-1.010495018768397,0.0
12,-3142.861038720114,-157.14305193600578,0.9500198854643995,0.0,1.0,12.250000000000039,245,1.4770911885767566,22.0,4.055836724680079,0.529495358467102,0.5320858955383301,-1.1762948036193848,0.7527951002120972,-18.484829282676937,0.0,-6.0,-6.077532554725761,10.152599448476902,82.03959761857348,230.36940784278715,-39.183113084241555,-3682.655781104897,288.7499999999998,-1.7713876034105795,0.0
13,-3122.669117883708,-156.1334558941854,0.9522261246677268,0.0,1.0,11.450000000000028,229,1.580490112695111,22.0,2.588984644127349,0.8703877329826355,0.8459546566009521,-1.1963615417480469,0.735755443572998,-15.699507443015325,0.0,-6.0,-6.264009183660046,8.654293747808671,81.1278861267655,230.57917325075005,-39.111496651956855,-3666.8931378081147,292.7499999999999,-1.8123199222858726,0.0
