time,reward,total_reward,progress,success,collision,min_distance,ego_x,ego_y,decision,selected_pair,switch_count,best_gap,y_high,u_high,z_low,u_t,cf,cr
0.05,-0.3,-0.3,0.0,0.0,0.0,4.206014663839249,23.44978488224802,2.0,WAIT,None,0,8.0,-0.019201895231547778,0.0095,0.009000000000000001,0.0,0.41394199027854234,0.7979798949094978
0.1,-0.3,-0.6,0.0,0.0,0.0,4.19835367692423,24.22478488224802,2.0,WAIT,None,0,8.0,-0.03582888144278092,0.009025254903723324,0.008100000000000001,0.0,0.4135885006680213,0.7923308770757469
0.15000000000000002,-0.3,-0.8999999999999999,0.0,0.0,0.0,4.187411508670637,25.01128488224802,2.0,WAIT,None,0,8.0,-0.049826503535684165,0.008577081859016945,0.007290000000000001,0.0,0.41081113143317277,0.7772337436670332
0.2,-0.3,-1.2,0.0,0.0,0.0,4.173792335384445,25.80813488224802,2.0,WAIT,None,0,8.0,-0.06122766564008101,0.008159782927201053,0.006561000000000001,0.0,0.40646345621109065,0.7551010529073784
0.25,-0.3,-1.5,0.0,0.0,0.0,4.15810230242858,26.61429988224802,2.0,WAIT,None,0,8.0,-0.07015162729729865,0.007778135221296653,0.005904900000000001,0.0,0.4014807261806104,0.7285761037724336
0.3,-0.3,-1.8,0.0,0.0,0.0,4.14093779091315,27.42884838224802,2.0,WAIT,None,0,8.0,-0.07677223171194333,0.007434611062953329,0.005314410000000001,0.0,0.3964616468631316,0.699544469988274
0.35,-0.3,-2.1,0.0,0.0,0.0,4.122877250528897,28.25094203224802,2.0,WAIT,None,0,8.0,-0.08129431965255106,0.007127959517759892,0.0047829690000000015,0.0,0.3918126964377177,0.6693852268325289
0.39999999999999997,-0.3,-2.4,0.0,0.0,0.0,4.104475558025573,29.07982631724802,2.0,WAIT,None,0,8.0,-0.08393527431957228,0.006853364334510968,0.004304672100000001,0.0,0.38779615058784567,0.6390666805573707
0.44999999999999996,-0.3,-2.6999999999999997,0.0,0.0,0.0,4.086260148529824,29.91482217374802,2.0,WAIT,None,0,8.0,-0.08491174939883203,0.006603644272004366,0.003874204890000001,0.0,0.38456948858466083,0.6092394271825572
0.49999999999999994,-0.3,-2.9999999999999996,0.0,0.0,0.0,4.068728378616089,30.75531844459802,2.0,WAIT,None,0,8.0,-0.08443086505464249,0.006370805877667001,0.0034867844010000007,0.0,0.38221596412332653,0.5803171202013105
0.5499999999999999,-0.3,-3.2999999999999994,0.0,0.0,0.0,4.05234573679101,31.600765088363023,2.0,WAIT,None,0,8.0,-0.08268492087074793,0.006147425673901217,0.0031381059609000006,0.0,0.3807674350581046,0.5525420614315257
0.6,-0.3,-3.599999999999999,0.0,0.0,0.0,4.037544633865081,32.450667067751525,2.0,WAIT,None,0,8.0,-0.07984870459340816,0.005927592937736736,0.0028242953648100005,0.0,0.38022094261961337,0.5260361662595784
0.65,-0.3,-3.899999999999999,0.0,0.0,0.0,4.024723593189841,33.30457884920118,2.0,WAIT,None,0,8.0,-0.07607861399720485,0.005707356579944755,0.0025418658283290004,0.0,0.3805504898485687,0.5008393184815189
